# Kendi eklediginiz kelimeler buraya. Format: latin<TAB>osmanlica<TAB>koken(ar/fa/tr)
# örnek satir: (basindaki # isaretini kaldirip kullanin)
# yeni_kelime	يڭی كلمه	tr
a'dâ	اعدا	ar
a'dâd	اعداد	ar
a'lem	اعلم	ar
a'lâ	اعلی	ar
a'lâf	آلاف	ar
a'lâl	اعلال	ar
a'lâm	اعلام	ar
a'mâ	اعمی	ar
a'mâk	اعماق	ar
a'mâl	اعمال	ar
a'mâr	اعمار	ar
a'nî	اعنی	ar
a'râb	اعراب	ar
a'râbî	اعرابی	ar
a'râz	اعراض	ar
a'sâb	اعصاب	ar
a'sâr	اعصار	ar
a'vec	اعوج	ar
a'ver	اعور	ar
a'yâd	اعياد	ar
a'yân	اعيان	ar
a'yün	اعين	ar
a'zam	اعظم	ar
a'zâ	اعضا	ar
a'şâr	اعشار	ar
a'şârî	اعشاری	ar
ab'âb	عبعاب	ar
abd	عبد	ar
abdest	آبدست	fa
abdesthâne	آبدستخانه	fa
abes	عبث	ar
abher	عبهر	ar
abraş	ابرش	ar
abâ	عبا	ar
abâpûş	عباپوش	ar-fa
abîd	عبيد	ar
abûs	عبوس	ar
aceb	عجب	ar
acebâ	عجبا	ar
acele	عجله	ar
aceleten	عجلة	ar
acem	عجم	ar
acemaşîran	عجم عشيران	ar
acemistan	عجمستان	ar-fa
acemiyân	عجميان	ar-fa
acemî	عجمی	ar
aceze	عجزه	ar
acz	عجز	ar
acâib	عجائب	ar
acâleten	عجالة	ar
acîb	عجيب	ar
acîbe	عجيبه	ar
acîn	عجين	ar
acûl	عجول	ar
acûlâne	عجولانه	ar-fa
acûz	عجوز	ar
acûze	عجوزه	ar
adale	عضله	ar
adaletkâr	عدالتکار	ar-fa
adalât	عضلات	ar
add	عد	ar
aded	عدد	ar
adeden	عددا	ar
adedî	عددی	ar
adem	عدم	ar
ademâbâd	عدم آباد	ar-fa
ades	عدس	ar
adese	عدسه	ar
adhâ	اضحی	ar
adl	عدل	ar
adliyye	عدليه	ar
adlî	عدلی	ar
adn	عدن	ar
adâlet	عدالت	ar
adâvet	عداوت	ar
adîd	عدید	ar
adîde	عدیده	ar
adîl	عدیل	ar
adîm	عدیم	ar
adîmülimkân	عدیم الامکان	ar
adû	عدو	ar
afrika	افریقا	ar
afsun	افسون	fa
afv	عفو	ar
afîf	عفيف	ar
ah	اخ	ar
ahad	احد	ar
ahali	اهالی	ar
ahavât	اخوات	ar
ahbap	احباب	ar
ahbâb	احباب	ar
ahbâr	اخبار	ar
ahcâr	احجار	ar
ahd	عهد	ar
ahdar	احضر	ar
ahdeb	احدب	ar
ahdnâme	عهدنامه	ar-fa
ahdâs	احداث	ar
ahdüpeymân	عهد و پيمان	ar-fa
ahfâ	فا اخ	ar
ahfâd	احفاد	ar
ahger	اخگر	fa
ahibbâ	احبا	ar
ahid	عهد	ar
ahidşiken	عهدشکن	ar-fa
ahize	آخذه	ar
ahkâm	احکام	ar
ahlak	حسن اخلاق	ar-fa
ahlâf	اخلاف	ar
ahlâk	اخلاق	ar
ahlâken	اخلاقا	ar
ahlâkiyat	اخلاقيات	ar
ahlâkiyûn	اخلاقيون	ar
ahlâm	احلام	ar
ahlât	اخلاط	ar
ahmak	احمق	ar
ahmakâne	احمقانه	ar-fa
ahmakî	احمقی	ar-fa
ahmer	احمر	ar
ahret	آخرت	ar
ahrâm	احرام	ar
ahrâr	احرار	ar
ahrârâne	احرارانه	ar-fa
ahrâs	احراس	ar
ahsen	احسن	ar
ahsâs	احساس	ar
ahter	اختر	fa
ahterbîn	اختربين	fa
ahterşinâs	اخترشناس	fa
ahterşümâr	اخترشمار	fa
ahtâb	احطاب	ar
ahtâr	اخطار	ar
ahu	اخو	ar
ahvef	اخوف	ar
ahvel	احول	ar
ahvâl	احوال	ar
ahyâ	احيا	ar
ahyâl	اخيال	ar
ahyânen	احيانا	ar
ahyâr	اخيار	ar
ahyât	اخياط	ar
ahz	اخذ	ar
ahzar	اخضر	ar
ahzen	احزن	ar
ahzâb	احزاب	ar
ahzân	احزان	ar
ahzüi'tâ	اخذ و عطا	ar
ahzükabz	اخذ و قبض	ar
ahîr	آخر	ar
ahîren	اخيرا	ar
ahşâ'	احشاء	ar
ahşâm	احشام	ar
ailevî	عائلوی	ar
